Date,close,high,low,open,volume,rsi_14,macd,macd_signal,macd_diff,bb_bbm,bb_bbh,bb_bbl,bb_bbhi,bb_bbli,ema_10,ema_50,atr,volume_change_pct,next_close,target
2019-03-14,107.42847442626952,108.00035187686242,107.18472877550404,107.38160356385194,30763400,70.56686641748624,1.8862615542335703,1.7736451245814384,0.11261642965213192,104.16947135925292,108.46016848886725,99.8787742296386,0.0,0.0,105.5997014547361,101.1542595298266,1.593890725776533,-0.1337620868507453,108.66596221923828,1
2019-03-15,108.66596221923828,109.92221264479788,107.4284515515584,108.13157871133323,54681100,73.7938254393815,2.0151511268445006,1.821946325034051,0.19320480181044952,104.61312599182129,108.83633821580483,100.38991376783775,0.0,0.0,106.15720341191832,101.44883610588197,1.658167180595315,0.7774725810541097,110.22222137451172,1
2019-03-18,110.22222137451172,110.25972235076316,108.79722003985614,108.9097158160306,31207600,77.18196214053026,2.2173143300020115,1.9010199260276432,0.31629440397436825,105.07298164367675,109.62350564332442,100.52245764402909,1.0,0.0,106.89629758693529,101.79289043014197,1.6535666770902837,-0.4292799523052755,110.29721069335938,1
2019-03-19,110.29721069335938,111.03783879618774,109.67845538495376,110.7097070797174,37588700,77.3340287285884,2.356417818537736,1.992099504529662,0.3643183140080739,105.53892059326172,110.2233968969251,100.85444428959835,1.0,0.0,107.51464542446695,102.12639318556226,1.6325535866719763,0.20447262846229775,110.17534637451172,0
2019-03-20,110.17534637451172,111.32847817984664,109.41597125427904,110.05347356280156,28113300,76.44246573745826,2.428826898724168,2.079444983368563,0.3493819153556048,106.02501640319824,110.51121835379998,101.5388144525965,0.0,0.0,107.99840923356598,102.44203840865833,1.6525502537359493,-0.2520810775578831,112.7065887451172,1
2019-03-21,112.7065887451172,113.26908899951594,109.77220037782938,109.81907837927044,29854400,81.2720830664945,2.6598011888476236,2.1955162244643756,0.46428496438324807,106.53173561096192,111.59565212171594,101.46781910020789,1.0,0.0,108.85444187202984,102.84456979440182,1.7842887085895647,0.06193154129895806,109.73470306396484,0
2019-03-22,109.73470306396484,112.11595382664105,109.7253260334596,112.0315820098295,33624500,64.54168603516614,2.57337932547523,2.2710888446665463,0.3022904808086837,106.81673469543458,111.92781448319745,101.7056549076717,0.0,0.0,109.01448936147256,103.11477109909056,1.8697868516658533,0.12628289297389994,110.3065948486328,1
2019-03-25,110.3065948486328,110.634719433716,109.05033724099783,109.27533593468635,27067100,65.9924816653176,2.521964625308243,2.3212640007948857,0.20070062451335735,107.10126762390136,112.32299364998046,101.87954159782227,0.0,0.0,109.24941763186531,103.39680340299418,1.8494008045981614,-0.19501851328644293,110.54097747802734,1
2019-03-26,110.54097747802734,111.29097555469096,109.54721947639258,111.20660372150554,26097700,66.59571670940753,2.4716393050116494,2.351339061638239,0.12030024337341061,107.36142539978027,112.72240171688478,102.00044908267577,0.0,0.0,109.48424669480386,103.67696709221117,1.8418547527196052,-0.03581469754794564,109.47220611572266,0
2019-03-27,109.47220611572266,110.82221252665568,108.30032753750416,110.512834865387,22733400,61.25954880968336,2.318785691204994,2.34482838755159,-0.026042696346596284,107.57704963684083,112.91330963325268,102.24078964042897,0.0,0.0,109.48205749860728,103.90423136764299,1.8904283410361702,-0.12891174318043352,109.62222290039062,1
2019-03-28,109.62222290039062,110.23160126325322,108.87221766108588,110.1003514192619,18334800,61.72316536159641,2.1845708291225066,2.3127768758657736,-0.12820604674326708,107.80673866271972,113.07950923457274,102.53396809086671,0.0,0.0,109.50754211711333,104.12846632971153,1.852496573974111,-0.19348623611074456,110.56909942626952,1
2019-03-29,110.56909942626952,110.92534796980976,109.65034339466185,110.69097223397492,25399800,64.60257901535388,2.1300556505909896,2.276232630810817,-0.1461769802198276,108.06033363342286,113.35223324591485,102.76843402093087,0.0,0.0,109.7005525369599,104.38104017663538,1.8132557522201844,0.3853328097388573,111.58159637451172,1
2019-04-01,111.58159637451172,111.66597535815288,110.71909538940078,111.51597145504849,22789100,67.42449606091093,2.143839177235563,2.2497539400957662,-0.1059147628602033,108.37720947265625,113.7153890508921,103.0390298944204,0.0,0.0,110.04256050742387,104.66341492949329,1.7620857650532684,-0.10278427389192046,111.74095916748048,1
