Date,close,high,low,open,volume
2019-01-02,94.39714050292969,94.98525301906949,92.36207533763465,92.93152066752192,35329300
2019-01-03,90.92447662353516,93.52898759940106,90.73776911574217,93.44496744035342,42579100
2019-01-04,95.15330505371094,95.69474615051092,92.35275649777576,93.09023513883162,44060600
2019-01-07,95.27465057373047,96.404204196358,94.2664586018881,94.8825755223383,35656100
2019-01-08,95.96546936035156,97.05768161813776,94.94793298661722,96.1895112568341,31514400
2019-01-09,97.33770751953125,97.90715283370336,96.3761872054195,96.95496967354111,32280800
2019-01-10,96.7122802734375,96.85230913276096,95.57338933011332,96.35754666902655,30067600
2019-01-11,95.96546936035156,96.56291916574727,94.88258713671968,96.32954011294697,28314200
2019-01-14,95.26531982421875,96.03080273305875,94.52784125853005,95.12529098629969,28437100
2019-01-15,98.02853393554688,98.06587543659873,95.10662379716635,95.6947435360292,31587600
2019-01-16,98.37389373779297,99.19539221081297,97.9818188059391,98.26187639849782,29853900
2019-01-17,99.06473541259766,99.5408235163855,97.79515289150422,98.01919477106101,28393000
2019-01-18,100.54902648925781,100.7263968418376,98.86870164530524,100.31564744519525,37427600
2019-01-22,98.65399169921875,99.97958298581506,97.88850870477378,99.65285374224038,32371300
2019-01-23,99.61550903320312,99.92357107672707,98.33658932419233,99.0647379149298,25874300
2019-01-24,99.13941192626953,99.88622769246155,98.33658747037018,99.7555360017024,23164800
2019-01-25,100.04492950439453,100.70772515213052,99.1394176503079,100.110275353547,31225600
2019-01-28,98.0938720703125,99.40079601573274,97.70179702333519,99.19542133717438,29476700
2019-01-29,96.09615325927734,97.99118987463487,95.37734184659234,97.90716971892232,31490500
2019-01-30,99.30743408203125,99.30743408203125,97.3937304673391,97.66445097444586,49471900
2019-01-31,97.4870834350586,98.22456198471603,96.32018834803651,96.89897087517792,55636400
2019-02-01,95.94678497314453,97.17902595765626,95.5453727595904,96.88030108632502,35535700
2019-02-04,98.7099838256836,98.76599963101216,95.93744005435147,96.03079735584504,31315100
2019-02-05,100.09159088134766,100.13826241001911,98.91535867752958,99.00870885703466,27325400
2019-02-06,98.98072052001953,99.88623236417548,98.51396242485984,99.88623236417548,20609800
2019-02-07,98.271240234375,98.56996511219202,97.35639841200666,98.19656435654291,29760700
2019-02-08,98.64464569091797,98.74733303284984,97.32839167858819,97.44974620897916,21461100
2019-02-11,98.25254821777344,99.49412607084163,97.99116490600352,99.13938547158725,18914100
2019-02-12,99.78353118896484,100.01691020421121,98.46727724649973,99.08339414322573,25056600
2019-02-13,99.7088394165039,100.61435105548549,99.61548924305627,100.35296772096744,18394900
2019-02-14,99.79287719726562,100.15694792357682,98.63531917315214,99.2420989688955,21784700
2019-02-15,101.02509307861328,101.09977606084941,100.2222688249779,100.73570542514979,26606900
2019-02-19,100.9784164428711,101.43584437654577,100.61434579992925,100.6236829534348,18038500
2019-02-20,100.45344543457031,101.19407364484636,99.64719230199539,101.11907169005332,21607700
2019-02-21,102.57218933105469,102.63781424386248,100.19093125511925,100.21905519595416,29063200
2019-02-22,104.03468322753906,104.2503048585655,102.95655361467142,103.17218239827633,27763200
2019-02-25,104.61593627929688,105.16906666258983,104.30656578457186,104.7753171947006,23750600
2019-02-26,105.33780670166016,106.16280652432832,104.22217617063107,104.30655513518043,21536700
2019-02-27,105.15968322753906,105.33781104136541,103.95030380474749,104.70968590666405,21487100
2019-02-28,105.02845001220703,105.82532605632403,104.74720343035492,105.03782704404264,29083900
2019-03-01,105.49720764160156,105.9565820923151,104.69095451846677,105.83470928163845,23501200
2019-03-04,105.24407958984375,106.17220547605116,103.8753261877115,105.95657665775063,26608000
2019-03-05,104.71907806396484,105.36595739700034,104.27845767969917,105.23470755443952,19538300
2019-03-06,104.76593780517578,105.6190687856414,104.46593719555047,104.8784407160023,17687000
2019-03-07,103.49092864990234,104.57843527996619,103.0034303639768,104.43780843606781,25339000
2019-03-08,103.60345458984375,103.79095232167597,102.00032537916432,102.33782701852631,22818400
2019-03-11,105.77845001220703,105.89094577839636,104.04407114185575,104.05344102065204,26491600
2019-03-12,106.51908111572266,106.86595260795471,105.60970216648184,105.76907594143059,26132700
2019-03-13,107.34408569335938,107.81283715926924,106.66908243803641,106.99720703365738,35513800
2019-03-14,107.428466796875,108.0003442068541,107.18472116341992,107.38159593778612,30763400
2019-03-15,108.66596984863281,109.92222036239326,107.4284590940678,108.13158630320892,54681100
2019-03-18,110.22222137451172,110.25972235076316,108.79722003985614,108.90971581603061,31207600
2019-03-19,110.29721069335938,111.03783879618774,109.67845538495375,110.7097070797174,37588700
2019-03-20,110.1753158569336,111.32844734286137,109.41594094704095,110.05344307898109,28113300
2019-03-21,112.70659637451172,113.26909666698754,109.77220780858772,109.81908581320208,29854400
2019-03-22,109.7347183227539,112.11596941654689,109.72534129094475,112.03159758800332,33624500
2019-03-25,110.30658721923828,110.6347117816266,109.0503296984928,109.27532837661923,27067100
2019-03-26,110.54098510742188,111.29098323584941,109.54722703719924,111.20661139684076,26097700
2019-03-27,109.47220611572266,110.82221252665569,108.30032753750417,110.512834865387,22733400
2019-03-28,109.6222152709961,110.23159359144769,108.87221008388957,110.10034375659099,18334800
2019-03-29,110.56907653808594,110.92532500788148,109.6503206966639,110.69094932056323,25399800
2019-04-01,111.5815658569336,111.66594481749709,110.71906510771676,111.51594095541878,22789100
2019-04-02,111.74098205566406,112.01285877715333,111.11284962546054,111.6191020910702,18142300
2019-04-03,112.47222900390625,112.90347949856297,111.70347687819995,112.36910310816445,22860700
2019-04-04,111.90033721923828,112.71596724794448,110.981581308078,112.59408730363754,20112800
2019-04-05,112.39722442626953,112.71597913818316,111.90972605535296,111.92847296660453,15826200
2019-04-08,112.43473052978516,112.51910236313503,111.225350850377,112.32222759940534,15116200
2019-04-09,111.8253402709961,112.06909301791684,111.16909112841623,111.2159619799838,17612000
2019-04-10,112.67848205566406,112.8284788085972,112.06910370653218,112.27535550032265,16477200
2019-04-11,112.80974578857422,113.29724423636443,112.42536609779782,113.00662057436915,14209100
2019-04-12,113.39094543457031,113.4190765229247,112.84719932020738,113.1003218947748,19745100
2019-04-15,113.4847183227539,113.98159366900393,113.03471382558513,113.38159244116478,15792600
2019-04-16,113.22222900390625,114.04723618396625,112.59410373914596,114.03785915167104,14071800
2019-04-17,114.15972900390625,114.23473095516515,113.00660440176463,113.66285359383062,19300900
2019-04-18,115.65972900390625,115.80034870912955,113.71909839345446,114.5534753564819,27991000
2019-04-22,116.02535247802734,116.25035115495999,114.90972181924721,114.95659982187354,15648700
2019-04-23,117.60037994384766,117.7316297931312,116.09099952450646,116.34412219024465,24025500
2019-04-24,117.19722747802734,117.98472639979519,116.73784595441734,117.9284785204057,31257000
2019-04-25,121.0784912109375,123.15974874862361,120.7784977280671,121.93162226484172,38033900
2019-04-26,121.77225494384766,122.36288636709969,120.95663197281159,121.59412709841233,23654900
2019-04-29,121.65972900390625,122.04409423778549,121.26597958775656,121.78159462701903,16324200
2019-04-30,122.43789672851562,122.53163844481175,121.3035118115972,121.69726135242597,24166500
2019-05-01,119.88784790039062,122.48472734487827,119.71909712096908,122.37223159364943,26821700
2019-05-02,118.32225036621094,120.00038156040434,117.67537102053625,119.98163464792077,27350200
2019-05-03,120.8440933227539,121.34096861351405,119.29721957682605,119.40034544689831,24911100
2019-05-06,120.1410140991211,120.52539379554123,118.22851410829496,118.49101382654243,24239800
2019-05-07,117.67536163330078,119.23161989075442,116.45661214684846,118.5566166539109,36017700
2019-05-08,117.66598510742188,118.47223813337725,116.95348093627034,117.60036019380128,28419000
2019-05-09,117.6565933227539,117.92846997439875,115.8472127568666,116.52221587093953,27235800
2019-05-10,119.18472290039062,119.93472796688297,116.08159106412089,117.10347278840226,30915100
2019-05-13,115.6409912109375,117.70350205952812,115.35036757581624,116.3534954788201,33944900
2019-05-14,116.93473815917969,118.01286075639663,115.96910417809224,116.12848510472882,25266300
2019-05-15,118.58142852783203,119.23070227302496,116.39837119308541,116.92532101806226,24722700
2019-05-16,121.3196792602539,121.74312872679907,118.99548126680494,119.26836438210482,30112200
2019-05-17,120.51044464111328,122.75937001525946,120.3692900462168,120.73626901996914,25770500
2019-05-20,118.76963806152344,120.05876674668245,118.33679125243556,119.05192571316036,23706900
2019-05-21,119.40948486328125,120.00229531711392,119.10837376591397,119.90819944525943,15293300
2019-05-22,120.1340560913086,120.67041774903758,119.0519353910936,119.14603846167813,15396500
2019-05-23,118.73200225830078,118.8355098877594,117.37699851197418,118.75081856408598,23603800
2019-05-24,118.78845977783203,119.8988084879173,118.53440016188009,119.41891730455738,14123400
2019-05-28,118.71318054199219,120.44456775756039,118.60967291725107,119.48477826702683,23128400
