Date,close,high,low,open,volume,rsi_14,macd,macd_signal,macd_diff,bb_bbm,bb_bbh,bb_bbl,bb_bbhi,bb_bbli,ema_10,ema_50,atr,volume_change_pct,next_close,target
2019-03-14,107.428466796875,108.0003442068541,107.18472116341992,107.38159593778612,30763400,70.5668549934322,1.8862646181337936,1.7736469308677665,0.11261768726602717,104.16946754455566,108.46016815264966,99.87876693646166,0.0,0.0,105.59970322442817,101.15425362486559,1.5938929205106336,-0.1337620868507453,108.6659698486328,1
2019-03-15,108.6659698486328,109.92222036239326,107.4284590940678,108.13158630320892,54681100,73.79385284646239,2.015154493935981,1.8219484434814095,0.1932060504545714,104.61312217712403,108.83634274403934,100.38990161020871,0.0,0.0,106.15720624701082,101.44883073167999,1.6581692310688354,0.7774725810541097,110.22222137451172,1
2019-03-18,110.22222137451172,110.25972235076316,108.79722003985614,108.9097158160306,31207600,77.18196952020611,2.2173172876524063,1.9010222123156089,0.31629507533679746,105.07297859191894,109.6235091617294,100.52244802210848,1.0,0.0,106.89629990655644,101.792885266693,1.6535680361446585,-0.4292799523052755,110.29721069335938,1
2019-03-19,110.29721069335938,111.03783879618774,109.67845538495376,110.7097070797174,37588700,77.33403606469926,2.356420421695546,1.9921018541915965,0.36431856750394953,105.53891830444336,110.2233992335764,100.85443737531031,1.0,0.0,107.51464732233879,102.1263882246015,1.6325548486510384,0.20447262846229775,110.1753158569336,0
2019-03-20,110.1753158569336,111.32844734286137,109.41594094704097,110.05344307898108,28113300,76.44225226353608,2.428826760029338,2.079446835359145,0.3493799246701932,106.02501182556152,110.51121774161393,101.53880590950911,0.0,0.0,107.99840523771965,102.44203244547727,1.6525513877345641,-0.2520810775578831,112.70659637451172,1
2019-03-21,112.70659637451172,113.26909666698754,109.77220780858772,109.81908581320208,29854400,81.27196027589228,2.6598019466215277,2.1955178576116214,0.46428408900990625,106.53173217773437,111.59565350820924,101.4678108472595,1.0,0.0,108.85443998986366,102.84456436426294,1.7842897784963676,0.06193154129895806,109.7347183227539,0
2019-03-22,109.7347183227539,112.11596941654687,109.72534129094475,112.03159758800332,33624500,64.54169378874954,2.5733813855877656,2.2710905632068505,0.3022908223809151,106.81673393249511,111.92781685076935,101.70565101422088,0.0,0.0,109.0144905958437,103.1147664802822,1.8697873002871244,0.12628289297389994,110.30658721923828,1
2019-03-25,110.30658721923828,110.6347117816266,109.0503296984928,109.27532837661924,27067100,65.99242823110666,2.5219658564565037,2.3212656218567815,0.2007002345997222,107.10126647949218,112.32299479938838,101.87953815959598,0.0,0.0,109.24941725464271,103.39679866612362,1.8494012133476014,-0.19501851328644293,110.54098510742188,1
2019-03-26,110.54098510742188,111.2909832358494,109.54722703719924,111.20661139684076,26097700,66.59570165170959,2.4716410898816292,2.351340715461751,0.12030037441987806,107.36142539978027,112.7224039263035,102.00044687325705,0.0,0.0,109.48424777332983,103.67696284029218,1.8418551408692128,-0.03581469754794564,109.47220611572266,0
2019-03-27,109.47220611572266,110.82221252665568,108.30032753750416,110.512834865387,22733400,61.25951491625546,2.3187872809494507,2.3448300285592913,-0.0260427476098406,107.57705154418946,112.91331030410599,102.24079278427293,0.0,0.0,109.4820583810376,103.90422728246592,1.8904287014608059,-0.12891174318043352,109.6222152709961,1
